"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7105",321.11919724988,0.164603276647431,0.111764228783196,1.47277244642142,0.140812404326967,0.945374279546364
"8813",874.274447061124,0.0160212211874823,0.118896004960384,0.134749869794369,0.892809642331048,0.990370756027526
"57147",79.2104777783561,-0.00686466627272002,0.154888600775098,-0.044320022508872,0.96464931170081,0.995648326730074
"55732",118.005681013048,0.212006033937682,0.188323960453433,1.12575178127748,0.260270599190606,0.945374279546364
"2268",45.3004210745347,-0.219853903636916,0.210427653163062,-1.04479568313462,0.296117410489435,0.945374279546364
"3075",42.0183452050699,0.0824253291994823,0.209379631503189,0.393664505987188,0.693828749761392,0.963802752373051
"2519",462.762142627487,-0.0761713198330511,0.075308479120747,-1.01145741784163,0.31179755186049,0.945374279546364
"2729",356.960981899728,-0.066787270391736,0.0791958676666936,-0.843317616934499,0.399050832698212,0.946097900267174
"4800",541.331699345557,-0.0851668398757528,0.0834375677391106,-1.02072534211507,0.307384584416331,0.945374279546364
"90529",68.5506155774003,0.109847606531241,0.158923151771368,0.691199521950531,0.489440164264628,0.946097900267174
"57185",349.953160035927,-0.103320239624276,0.0966812376651255,-1.06866897982984,0.285218853993965,0.945374279546364
"81887",856.868647361232,-0.218022735713421,0.146120456805668,-1.49207537725795,0.135679386003084,0.945374279546364
"22875",53.7629972399652,0.239904670350387,0.204131413421354,1.17524621188603,0.23989622688519,0.945374279546364
"6405",169.740027154052,0.0250549748111826,0.136295680934617,0.183828090805033,0.854148318382112,0.987198122554398
"1080",99.0371387462871,0.172494191391656,0.161904711337837,1.06540563252494,0.286692408998543,0.945374279546364
"54467",652.406604846789,0.0586284682144375,0.101695794128876,0.576508288436583,0.564271669163616,0.956425423641715
"1595",51.4067386969337,-0.625077198056569,0.267780893183068,-2.33428602999407,0.0195807497442153,0.945374279546364
"889",82.3707316571573,0.107826084833776,0.152293330118592,0.708015805746786,0.478935442157637,0.946097900267174
"5893",169.118447218408,-0.161723013743333,0.113565279840196,-1.42405331956125,0.154431037867296,0.945374279546364
"572",40.3090982467534,-0.340970493932932,0.199054639799735,-1.71294923984679,0.0867218784067601,0.945374279546364
"51056",738.017238469912,-0.135896169815513,0.121648692161332,-1.11711985884145,0.263943080501693,0.945374279546364
"26",20.0431982058968,-0.0500101028858774,0.264916984301842,-0.18877650679013,0.850267985627043,0.987198122554398
"23072",24.8426838286217,-0.310957651045745,0.248703819630111,-1.25031312952178,0.211185184077087,0.945374279546364
"8379",16.2220782128764,0.0488506047242036,0.296887467440804,0.164542495327607,0.869304096166468,0.98888504323567
"3927",1433.93665786034,-0.111665678068429,0.0797434687923654,-1.40031127012022,0.16142012740338,0.945374279546364
"29916",113.884520397691,0.0445833419564485,0.119059162490265,0.37446376258605,0.708059311963605,0.965654031950444
"4074",814.885125995587,-0.174414529787211,0.109368086888375,-1.59474792646986,0.110768615983378,0.945374279546364
"90293",126.193592726461,0.179794717551929,0.110635707410865,1.62510568928917,0.104140040856556,0.945374279546364
"56603",32.2020194380489,-0.141049834496277,0.264038738643355,-0.534201288875254,0.593202277512131,0.959293287180997
"3382",111.91962406978,-0.149952605401017,0.125380806065225,-1.19597735974842,0.231705394268841,0.945374279546364
"79007",158.212397491357,0.0555640911717016,0.143915604125612,0.386088023667013,0.699431479242112,0.964652945384898
"57679",316.904549726698,0.141112422047257,0.0898155456077556,1.57113583280478,0.116151100916857,0.945374279546364
"843",111.250407305621,-0.106052528911132,0.125431678526102,-0.845500356507324,0.397831533709022,0.946097900267174
"8837",350.924111976356,-0.184599891414441,0.0896364255065062,-2.05942941579082,0.0394531202512031,0.945374279546364
"7035",620.454385860841,0.0857203136893285,0.0766592848620513,1.11819871322283,0.263482133755292,0.945374279546364
"55471",237.235249041832,0.110598345686837,0.101495036932605,1.08969215667439,0.275848772272594,0.945374279546364
"10181",561.286460935923,-0.0713023813691161,0.085493443643358,-0.834009934920379,0.404275385438513,0.946097900267174
"9108",23.3264145250671,0.046965545922523,0.244379129770008,0.192183129413398,0.847598760359773,0.987198122554398
"6542",1605.91373616632,0.0886127606625561,0.101968705027246,0.869019182295971,0.384836638827108,0.946097900267174
"381",420.420153335016,-0.0332691430844474,0.111008269309363,-0.299699682658158,0.764406240688129,0.977186794070429
"23098",25.9915372018658,-0.158235989693923,0.22787433882094,-0.694400214226236,0.487431259421668,0.946097900267174
"26073",662.995264792664,0.0399754112598261,0.0699386857847701,0.571577958768725,0.567607931335029,0.956927359554827
"23129",881.195355629675,-0.0261554906954904,0.0625172978739013,-0.418372059973651,0.67567511127971,0.961276356335078
"204",2185.95467780083,-0.103501136054975,0.0862719716541468,-1.19970755357136,0.230252938409965,0.945374279546364
"952",255.382974700918,0.157019854405424,0.126099096638916,1.2452099863574,0.213054572733188,0.945374279546364
"2288",1386.15186797409,-0.16052447428249,0.118311057779528,-1.35680026275842,0.174844684008397,0.945374279546364
"23028",1594.0026059406,0.0104716553860773,0.0599085573004507,0.174793983663474,0.861241515902132,0.987647710419191
"10180",1159.96331118247,-0.200397092678688,0.156752149373263,-1.27843282200549,0.201096857317668,0.945374279546364
"84254",134.363245925598,-0.0942854238235327,0.120167686910085,-0.784615450691677,0.432679068352513,0.946097900267174
"5965",458.638879604385,-0.121802095840798,0.11886206366073,-1.02473482362262,0.305488326929231,0.945374279546364
"55610",232.902357561633,-0.0342085168549219,0.102770411854724,-0.332863479259761,0.739237338216319,0.972826574432015
"126393",14.6204385425211,0.377961217080099,0.366182498209655,1.03216625296958,0.301994241224203,0.945374279546364
"115703",188.172350697007,0.00867704586475737,0.142262626310351,0.0609931511163591,0.951364663519327,0.994687853563217
"4706",418.511560784181,0.104552489591637,0.102328026066175,1.02173855600443,0.306904657454847,0.945374279546364
"5166",341.203015443492,0.168097421774611,0.0888946678236616,1.8909730571024,0.0586279409162966,0.945374279546364
