"Percent through gene"	"10-ng-UHR_U001_S1_L001"	"10-ng-UHR_U002_S2_L001"	"10-ng-UHR_U003_S3_L001"	"10-ng-UHR_U004_S4_L001"	"10-ng-UHR_U005_S5_L001"	"100-ng-UHR_U011_S11_L001"	"100-ng-UHR_U012_S12_L001"	"100-ng-UHR_U013_S13_L001"	"100-ng-UHR_U014_S14_L001"	"100-ng-UHR_U015_S15_L001"	"100ng_A10_S25_L002"	"100ng_A6_S21_L002"	"100ng_A7_S22_L002"	"100ng_A8_S23_L002"	"100ng_A9_S24_L002"	"100ng_U003_S6_L001"	"100ng_U004_S7_L001"	"100ng_U019_S8_L001"	"100ng_U020_S9_L001"	"100ng_U021_S10_L001"	"200ng_A11_S26_L002"	"200ng_A12_S27_L002"	"200ng_B1_S28_L002"	"200ng_B2_S29_L002"	"200ng_B3_S30_L002"	"200ng_U005_S11_L001"	"200ng_U006_S12_L001"	"200ng_U022_S13_L001"	"200ng_U023_S14_L001"	"200ng_U024_S15_L001"	"50-ng-UHR_U006_S6_L001"	"50-ng-UHR_U007_S7_L001"	"50-ng-UHR_U008_S8_L001"	"50-ng-UHR_U009_S9_L001"	"50-ng-UHR_U010_S10_L001"	"500ng_B4_S31_L002"	"500ng_B5_S32_L002"	"500ng_B6_S33_L002"	"500ng_B7_S34_L002"	"500ng_B8_S35_L002"	"50ng_A1_S16_L002"	"50ng_A2_S17_L002"	"50ng_A3_S18_L002"	"50ng_A4_S19_L002"	"50ng_A5_S20_L002"	"50ng_U001_S1_L001"	"50ng_U002_S2_L001"	"50ng_U016_S3_L001"	"50ng_U017_S4_L001"	"50ng_U018_S5_L001"
11	0.86598	0.874436	0.865328	0.85444	0.848265	0.859331	0.866419	0.853089	0.853996	0.877476	0.911625	0.904098	0.897903	0.903237	0.905864	0.879608	0.863418	0.867144	0.854941	0.839147	0.9245	0.922897	0.905039	0.912727	0.91532	0.851733	0.864812	0.860109	0.849523	0.842939	0.847933	0.83762	0.838188	0.848415	0.857102	0.889526	0.906092	0.909635	0.912057	0.888685	0.967124	0.894265	0.879799	0.893649	0.901021	0.866618	0.853345	0.861036	0.860426	0.80511
12	0.882475	0.889351	0.880092	0.874069	0.867214	0.875522	0.883782	0.869403	0.874388	0.891839	0.934622	0.929284	0.924131	0.926172	0.929972	0.895865	0.881533	0.884349	0.870451	0.855137	0.947524	0.946255	0.930651	0.936231	0.940987	0.869723	0.883672	0.878807	0.867105	0.863703	0.867793	0.853748	0.85509	0.864345	0.870039	0.915102	0.931091	0.934649	0.934989	0.91532	0.990143	0.919376	0.9043	0.920731	0.924576	0.881832	0.869961	0.877965	0.877	0.821401
13	0.896596	0.906158	0.892713	0.88929	0.884892	0.891355	0.898522	0.890414	0.894553	0.907757	0.954535	0.952995	0.945827	0.949757	0.951875	0.909281	0.897346	0.900285	0.880379	0.865776	0.969231	0.968668	0.951738	0.957814	0.965068	0.882406	0.896722	0.891793	0.879129	0.878893	0.886192	0.873426	0.875214	0.882055	0.886905	0.937814	0.95245	0.95636	0.957483	0.938965	1.010899	0.942393	0.927939	0.943154	0.947165	0.894399	0.884471	0.895871	0.892693	0.828156
14	0.911365	0.918757	0.907829	0.908728	0.906104	0.906699	0.916509	0.908449	0.910298	0.920021	0.974261	0.973986	0.966089	0.970791	0.973715	0.928465	0.918585	0.920346	0.895252	0.878484	0.990307	0.987891	0.972884	0.977052	0.988558	0.902826	0.91592	0.910166	0.897977	0.898328	0.904489	0.890301	0.891976	0.895715	0.903602	0.961013	0.9725	0.976759	0.976456	0.96123	1.03114	0.963632	0.951212	0.963134	0.968898	0.912309	0.903863	0.913897	0.910981	0.841595
15	0.927144	0.931371	0.922737	0.927672	0.924214	0.924612	0.935921	0.931985	0.930802	0.93703	0.989944	0.990122	0.982248	0.986835	0.989745	0.940555	0.934607	0.935625	0.912365	0.893619	1.006639	1.002989	0.98793	0.991732	1.005079	0.918638	0.931309	0.925501	0.916773	0.91518	0.921818	0.907737	0.912061	0.912183	0.92249	0.97797	0.989105	0.99282	0.991219	0.976826	1.048095	0.981735	0.968724	0.979343	0.986749	0.925474	0.918045	0.926169	0.925367	0.85453
16	0.93634	0.942389	0.934341	0.942125	0.933836	0.937062	0.952206	0.948092	0.947522	0.952704	1.002903	1.00837	0.996501	1.002648	1.005307	0.940445	0.936869	0.939444	0.916679	0.897528	1.021778	1.018318	1.003151	1.006197	1.020623	0.923381	0.935222	0.930228	0.921205	0.918207	0.935077	0.923796	0.925568	0.925101	0.934621	0.994277	1.004801	1.007793	1.005603	0.993221	1.062941	0.996049	0.987953	0.994329	1.004112	0.928511	0.921942	0.929972	0.926926	0.860009
17	0.948031	0.949973	0.9451	0.953922	0.942648	0.947283	0.961751	0.958069	0.956395	0.96154	1.015528	1.020886	1.010001	1.015122	1.019508	0.940548	0.936307	0.940604	0.92021	0.900956	1.033253	1.030377	1.016168	1.019647	1.033327	0.925871	0.93697	0.930667	0.92401	0.919281	0.944243	0.935133	0.934681	0.934986	0.944569	1.009141	1.018932	1.020386	1.019772	1.008422	1.07477	1.008569	1.003948	1.007208	1.016324	0.931078	0.923594	0.931255	0.930302	0.869477
18	0.947312	0.946293	0.941045	0.956927	0.943316	0.946224	0.960053	0.962062	0.963673	0.9687	1.015556	1.021425	1.011648	1.016352	1.020697	0.94394	0.939217	0.943776	0.923754	0.909277	1.033245	1.029286	1.016799	1.020158	1.03274	0.932291	0.942425	0.935219	0.928932	0.926566	0.940333	0.935984	0.93488	0.939859	0.943595	1.014556	1.020181	1.019776	1.020817	1.011925	1.071081	1.008466	1.00684	1.008007	1.016286	0.933929	0.928581	0.935075	0.933932	0.876099
19	0.958154	0.9503	0.94831	0.96053	0.948563	0.953404	0.96269	0.967201	0.974638	0.978567	1.022582	1.028577	1.021648	1.025242	1.028918	0.959492	0.956684	0.95878	0.941629	0.927696	1.039996	1.036442	1.026174	1.030219	1.039996	0.945504	0.958719	0.949492	0.945176	0.945636	0.944368	0.944892	0.944328	0.948313	0.953329	1.024428	1.028254	1.02996	1.029698	1.023001	1.074352	1.016305	1.01734	1.015496	1.023771	0.950764	0.946702	0.952778	0.951094	0.893736
20	0.972712	0.958225	0.961795	0.970272	0.958714	0.963868	0.974418	0.979359	0.986455	0.982791	1.030138	1.035849	1.029733	1.032129	1.036583	0.966853	0.964219	0.968203	0.950493	0.938886	1.045435	1.043474	1.034877	1.03732	1.048392	0.951877	0.96554	0.958677	0.952394	0.954257	0.958425	0.963253	0.957751	0.960814	0.964945	1.034072	1.035895	1.037746	1.037595	1.033165	1.074698	1.023942	1.02753	1.023443	1.031654	0.959313	0.956344	0.964447	0.961616	0.904929
