"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7105",1612.8051788187,-0.0222806227046044,0.103469191139143,-0.215335815998038,0.829505507417122,0.914030072404408
"8813",3406.38021399901,0.0145903610695963,0.117455731697797,0.124220085803356,0.901141019238217,0.952913757391664
"57147",575.838371844534,0.0671975827705478,0.0592122027051525,1.13486037844528,0.256433823303772,0.483007204646449
"55732",872.855613649635,-0.116442115594323,0.0577625372463351,-2.01587605298122,0.0438129382800642,0.155468761783111
"2268",171.973165947329,0.224638759204115,0.120690193122651,1.8612842799566,0.0627040419198206,0.197624082186376
"3075",241.522630427583,-0.141680451407407,0.0951797889255622,-1.48855605803257,0.136604310081144,0.32813287637692
"2729",1811.10992719744,-0.0781455447602011,0.0418657958817939,-1.86657253527059,0.0619613059399519,0.196214594995733
"4800",3364.97722085482,-0.112261201040377,0.0304181203054063,-3.69060283519308,0.000223723219910465,0.00305663851330753
"90529",246.101475962826,0.130514582199668,0.0896851684743,1.45525268469634,0.145599320306965,0.34103952239514
"57185",1861.2087889321,-0.11968597866619,0.0605246456773558,-1.97747508187344,0.0479879544257824,0.1659220311703
"81887",4921.01602453989,-0.130563358723886,0.0405029250525182,-3.2235538187573,0.00126610504414649,0.0119258264255615
"22875",240.756650233379,-0.241457151377406,0.0857879962898244,-2.8145796827061,0.00488410676877085,0.0322318830523983
"6405",651.534449841983,0.257593664063077,0.0658216171301778,3.91351162876513,9.09635177229754e-05,0.00151137381235284
"1080",633.636325963598,-0.0934308193252055,0.0607632628740582,-1.53762018209681,0.124141509860123,0.308930682561702
"54467",2950.42137341388,-0.104699195108817,0.0962396968331226,-1.08790030054192,0.27663912344249,0.503533300294397
"1595",37.3161933970299,0.175382604509132,0.228169324975041,0.768651108243043,0.442100456562452,0.658119177598229
"889",561.890539430891,-0.0893689034984966,0.0753118017152454,-1.18665204474063,0.235364898024896,0.458876603266937
"5893",644.693687019399,0.0985149054272061,0.0741452111365302,1.32867522955463,0.183955140541741,0.394564876440737
"572",757.590603767332,0.352990842705672,0.157529163733286,2.24079677908609,0.0250392416893987,0.10490828029606
"51056",2702.93059372505,0.129541982789461,0.0375697471782277,3.44803977985066,0.000564670865898546,0.0062877156630352
"3927",7949.84129692272,-0.0620830456472032,0.0604851366150618,-1.02641820985395,0.304694498213043,0.532298721757864
"29916",287.069303314796,0.131226623144018,0.10093357875782,1.30012850786638,0.193556928425916,0.406137338164154
"4074",4610.54622056159,-0.10482781782967,0.0961378651293126,-1.09039053123,0.275541151072303,0.502426580234078
"90293",556.292258573227,-0.0609003958158412,0.0786467471061587,-0.77435365169823,0.438721684213119,0.654924632448736
"3382",797.19157147165,-0.142095300914831,0.0696047988217578,-2.04145839540037,0.0412052852097553,0.14880540498324
"79007",717.871168192691,0.0600166269774363,0.127150378396941,0.472012963973059,0.636917535219503,0.798656904992368
"57679",1363.46344300253,-0.0480781699039657,0.0944216903515371,-0.509185651357946,0.610622099653108,0.780773430074997
"843",476.249178220621,0.0755748383475393,0.0711234489765222,1.06258680414228,0.287969373842193,0.514656633744222
"8837",2005.16190851498,-0.0364869856385645,0.0489488759102203,-0.745410082664354,0.456023850451106,0.668318939364909
"7035",3231.95770803178,-0.137848900977208,0.0565268181600615,-2.43864603500015,0.0147424006883516,0.0716094695083709
"55471",1306.1669881027,-0.0651937252045934,0.0984567884687795,-0.662155715400631,0.507871431978597,0.70738703909453
"10181",5190.34183325789,-0.0825015311506948,0.0358186308621771,-2.303313364158,0.0212612182538555,0.0932844892283928
"6542",7885.75877958151,-0.119993603123041,0.0846948157699261,-1.41677624577405,0.156548356821935,0.356570428736998
"381",897.168745185874,0.401591304036056,0.0960559264693785,4.18080714846968,2.90476149940617e-05,0.00062014522158278
"23098",330.596857416063,0.0773990717939471,0.0754358732524248,1.02602473408047,0.304879925513163,0.532382416916234
"26073",2324.65993356338,0.236672993439157,0.0404799415326739,5.84667330233477,5.01501061814204e-09,4.22060386370302e-07
"23129",3628.56204816125,0.148122812932509,0.0784467808408761,1.88819491819512,0.0589997878033088,0.189917831360208
"204",9533.52823373881,-0.0214447656660199,0.0289767896291765,-0.7400669963945,0.45925934336102,0.671176294676593
"952",1107.13621249002,0.0204631439713521,0.0526912213585868,0.388359644049461,0.697749904471981,0.835601916945513
"2288",11381.9019101086,-0.0832054527606278,0.0308926484781001,-2.69337388860047,0.00707328987584775,0.0421830052113319
"23028",8293.29315700586,-0.00495159611026267,0.0235960126464568,-0.209848849653257,0.833785645297185,0.916399970550485
"10180",7675.20033640891,-0.105554489753123,0.0296643209368376,-3.55829786152441,0.000373265886854156,0.00458256872085007
"84254",555.841761982517,0.134768426118118,0.0700390316592935,1.92419031110684,0.0543307331463611,0.179699140549867
"5965",4866.38410567303,-0.040895000685965,0.0536176341637955,-0.762715500669717,0.445633084219195,0.661331796591072
"55610",1068.23321519429,-0.0178987538666906,0.0660599115044895,-0.270947287985304,0.786431574268333,0.891541256866732
"126393",1006.98848333971,0.0297763728730569,0.0525056192090326,0.567108308055806,0.570640598692532,0.75294477541639
"115703",732.245187237717,0.105534234729366,0.119514952533234,0.883021182642568,0.377224826695464,0.602526397761309
"4706",4541.14014711565,0.0709514299757967,0.130112290815673,0.545309205848294,0.585540873675638,0.763840470276184
"5166",2484.09979878255,-0.117817602534673,0.0752222121813593,-1.56626080406432,0.117287573098394,0.296964873330008
"10165",2439.29609724939,-0.125634845456361,0.0994805166907756,-1.26290905632188,0.206621864902937,0.423079396858729
