"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7105",1275.16933259048,-0.0155452569574948,0.0740348748107684,-0.209972084064816,0.833689461032898,0.914867120001298
"8813",1874.43739659227,0.0641622657461373,0.0587974509978909,1.09124230144669,0.275166278853612,0.475332739248261
"57147",417.529198625096,0.171184200837063,0.0762062864944074,2.2463265002373,0.0246831023562821,0.093239088801226
"55732",972.013227693088,0.0235830953686523,0.0500591453529003,0.471104634375984,0.637566015811119,0.787980396535305
"2268",279.426426026537,-0.0699696866417637,0.084084757051229,-0.832132827584129,0.405333974111375,0.609877397668226
"3075",169.734790528646,0.0624746528098808,0.107911074341368,0.578945703128184,0.56262581060768,0.735761322426325
"2729",1493.94594496203,0.0330960323066563,0.0457715792140631,0.723069487112819,0.469637194388847,0.664164303507386
"4800",2005.13603912829,-0.00707939783723534,0.040940921296917,-0.172917404224815,0.862716351133515,0.930883611848375
"90529",350.479959562444,0.144233219062398,0.0683209529779022,2.11111251783986,0.0347626417378725,0.119250520106214
"57185",1278.83018307387,0.0951201448009813,0.041171231364799,2.31035462500906,0.0208685290116964,0.0827714904007533
"81887",3208.22858221756,-0.00348899585080108,0.035433555065078,-0.0984658706808594,0.921562371480573,0.960452030350708
"22875",130.859468446482,-0.25640718842529,0.114832123247458,-2.23288728949777,0.0255563779867955,NA
"6405",985.026765277004,-0.0374863755320296,0.0549202011864576,-0.682560783139904,0.494884422040506,0.685507015643313
"1080",416.347220784032,0.0967203944306826,0.0781486317773601,1.23764667699151,0.215847098913203,0.407202685029397
"54467",2339.38133502832,-0.024046392568513,0.0452637471427418,-0.531250594270981,0.595245136976948,0.759845176777604
"1595",163.867300163291,-0.145459604334644,0.110710948171019,-1.31386829159793,0.188890530946033,0.374590676814274
"889",270.140565921593,-0.343315239029172,0.0917723617371624,-3.74094370604118,0.000183330584213671,0.00234659488935179
"5893",594.258201324787,0.105727490462032,0.0613432622254544,1.72353876573196,0.0847911411437534,0.218234193556205
"572",830.122051567181,-0.0546540000479635,0.0509492307184138,-1.07271492184102,0.283399043217577,0.485212222369962
"51056",2423.41825422029,0.0940079769834841,0.0332612112140311,2.82635458999242,0.00470811144282403,0.0279565595528274
"3927",8192.37416219879,-0.0454566368539583,0.024953298893072,-1.82166843144651,0.0685053107168731,0.189278744239318
"29916",667.599584090945,0.0375259477661504,0.0631664373119759,0.594080485825274,0.552458282064859,0.72826823089425
"4074",3807.74848133571,0.0215316350732523,0.0319289635737669,0.674360601261197,0.500082084586686,0.689456662959406
"90293",446.834525731445,0.0640283809296897,0.0692882910890672,0.924086594189254,0.355441232432208,0.563412692577651
"3382",509.661888491415,0.151058301881074,0.0649025560137848,2.32746306399689,0.0199406326519685,0.0802674055226316
"79007",1198.16146011681,-0.0392347066837833,0.0493933314699939,-0.794332058926176,0.427002145292936,0.628554663660495
"57679",983.062176833931,0.0878281826519071,0.0454402809298607,1.9328265770952,0.0532575651694237,0.160335820701709
"843",535.484300687083,0.116816937200864,0.0555383923709661,2.10335467437715,0.0354347774218148,0.121082112228337
"8837",1384.45079269285,0.0336480955537656,0.0390858641754418,0.860876336333052,0.389306155983757,0.59554168038939
"7035",1687.08604994342,-0.0916999242714047,0.0705246729051653,-1.30025309574585,0.193514238118009,0.379792117512666
"55471",743.144473673782,0.127102363123439,0.0494583564718123,2.56988651039948,0.0101731836411477,0.0491358729809292
"10181",3544.61904433428,0.0841301788558579,0.0292732859917349,2.87395746687309,0.00405363549483959,0.0250634390069099
"6542",5288.30400928349,-0.0806289712906832,0.0432550723646896,-1.86403505722725,0.0623167813784424,0.177254201578192
"381",2445.51860644924,0.0817067238889518,0.0385955854879802,2.11699661647568,0.0342601349537446,0.11806011406602
"23098",502.715630629653,-0.0144042084481931,0.0696082956009104,-0.206932353735217,0.836062688714102,0.915921312212862
"26073",4523.95339445831,0.00379871281063417,0.0337440073610066,0.112574442329687,0.91036794828615,0.954712759026793
"23129",4725.833564703,-0.085457425981683,0.0412089791951102,-2.07375741041951,0.038101846391837,0.127349490313368
"204",9581.36244517557,0.0443006756818867,0.0254808484388614,1.73858715058808,0.08210740831961,0.214035539792181
"952",985.668177382263,0.0260126744361365,0.0627349226856385,0.414644241557206,0.678402355991733,0.818466571227739
