"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7105",333.875073897494,0.0801108814624051,0.0707820469860879,1.13179661896682,0.257719949517223,0.877861124280292
"8813",501.894731970488,0.00781091161317359,0.053722005630927,0.14539501125172,0.884399003256338,0.992248928863149
"57147",90.455879570203,0.0664995016567856,0.124301411353538,0.534985893825839,0.59265961162656,0.967861440863767
"55732",179.252901906254,-0.117851509203282,0.0873135382348266,-1.34975069829749,0.177095964005457,0.814713458362904
"2268",73.2199185994568,-0.14243768819099,0.135475667866006,-1.05138945195583,0.293079758345983,0.887176084714086
"3075",44.8109007673356,-0.0413488474445722,0.171720838197293,-0.240791087899687,0.809717037255577,NA
"2519",634.709868130555,0.0733506245312755,0.0491011521033077,1.49386768719698,0.135210205599901,0.768134771400157
"2729",330.167368877109,-0.00617890303176406,0.0638035440835774,-0.0968426303038935,0.922851368931546,0.994831583794291
"4800",506.489352301352,-0.0147230017144718,0.0520278159914618,-0.282983274117983,0.777189658508206,0.983750876325356
"90529",86.2750462729529,-0.00380554334524752,0.126089108329756,-0.0301813804194334,0.97592239803947,0.997800471453178
"57185",321.46841777955,0.0452211602551353,0.0662644199819561,0.682435012144512,0.494963923049495,0.950719477139682
"81887",865.824718040886,0.042295751299899,0.0424807607307198,0.995644865401692,0.319422727503145,0.898500810172376
"22875",39.2409380068163,0.128205770139233,0.182279367118518,0.70334768090276,0.481839102966618,NA
"6405",266.407894834859,0.0446087386988435,0.0719796772644088,0.619740743418155,0.535428486871697,0.960337119188638
"1080",108.433392262668,-0.0651636847086133,0.113401728810438,-0.574626907298216,0.565543650349784,0.962823841730141
"54467",597.659612024884,-0.0246416317456222,0.051165207161599,-0.481609146383297,0.630083627534893,0.971615115154211
"1595",39.4508896623425,0.127146328722884,0.185143444950071,0.686744965543731,0.492243455927732,NA
"889",71.745023103237,-0.201643995760774,0.139660153477831,-1.44381909040922,0.14878987054321,0.790010915278998
"5893",154.891689190975,0.105614140004946,0.0940144205641837,1.1233823425295,0.261275145777918,0.882457027285804
"572",72.0239757162134,0.0382559057652222,0.147033350499976,0.260185227604049,0.7947208986249,0.985722240465458
"51056",617.110429456965,0.0441308275093515,0.0500670380295059,0.881434757201814,0.378082552216294,0.924406502194286
"26",29.4522912870971,0.0913328160158479,0.216131382128951,0.422580076600611,0.672601665288846,NA
