samplename,Average_library_size__TapeStation,Conc_ng_per_ul__KAPA,Conc_ng_per_ul__TapeStation,Covered.genes.per.sample,FRAC_CODING_BASES,FRAC_CORRECT_STRAND_READS,FRAC_INTERGENIC_BASES,FRAC_INTRONIC_BASES,FRAC_RIBOSOMAL_BASES,FRAC_UTR_BASES,Fastq_file_prefixes,Final_library_conc_nM__KAPA,Final_library_conc_nM__TapeStation,Input_concentration,Library_prep,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,Mean.coverage.per.sample.after.filtering,Percentage.reads.mapped.to.ribosomal.mitochondrial.genes,Read.coverage.per.sample,STAR_perc_ambiguous,STAR_perc_mapped,STAR_perc_multimapping,STAR_perc_noFeature,STAR_perc_unmapped,Well_column,Well_row
50_ng_A2_IL,280,37.3,19.6,30767,0.602703,0.991306,0.026238,0.072274,0.006895,0.29189,50ng_A2_S17_L002_R1_001,215.8,107,50_ng,Illumina_truseq,0.611282,0.600888,0.894819,0.438565,2298.51554541999,0.819494447582598,30589469,4.23609617700062,77.8497273176347,5.76903960174046,6.5732725217768,5.57186438184744,5,B
50_ng_A3_IL,284,37.4,20.3,30850,0.607547,0.992125,0.023818,0.070133,0.006946,0.291556,50ng_A3_S18_L002_R1_001,213.3,110,50_ng,Illumina_truseq,0.615683,0.587882,0.879717,0.439021,2367.33987077157,0.820674391094118,31504212,4.26549741773448,78.3683649059649,5.32672689278763,6.54747561359512,5.49193516991784,5,C
50_ng_A4_IL,279,28.7,17.1,30767,0.610224,0.992148,0.023795,0.069421,0.007038,0.289523,50ng_A4_S19_L002_R1_001,166.6,94,50_ng,Illumina_truseq,0.613108,0.592856,0.880854,0.439247,2361.54846066135,0.83176680308088,31434652,4.2435373949518,77.7171595627468,5.35306442263868,6.42867835729299,6.25756026236971,5,D
50_ng_A5_IL,281,37.8,21.6,30447,0.610475,0.992207,0.023237,0.069015,0.00686,0.290413,50ng_A5_S20_L002_R1_001,217.7,118,50_ng,Illumina_truseq,0.6021,0.601164,0.876974,0.433832,2104.81147852528,0.809631713158357,28010884,4.26216299681904,77.7005878900035,5.18468203307034,6.38669244251233,6.46587463759479,5,E
50_ng_U001_SR,444,8.49,7.1,32857,0.5422,0.961792,0.042335,0.119142,0.007584,0.288739,50ng_U001_S1_L001_R1_001,30.95,24.23,50_ng,Swift_Rapid,0.514207,0.613739,1.129596,0.633892,2389.16214367161,0.961407112906577,31778317,3.66401603856677,63.9734108591926,4.33651115595794,13.2838686849995,14.7421932612831,1,B
50_ng_U002_SR,442,11.22,10.88,34026,0.538702,0.962423,0.042707,0.125258,0.007982,0.285351,50ng_U002_S2_L001_R1_001,41.08,37.3,50_ng,Swift_Rapid,0.528479,0.601487,1.123604,0.626576,2757.45252755606,1.0192041568996,36681954,3.72400725182082,65.5897411396356,4.4615627462166,14.1229661114414,12.1017227508856,1,C
50_ng_U006_S,427,5.41,6.9,33042,0.480889,0.987504,0.049016,0.137267,0.009076,0.323753,50-ng-UHR_U006_S6_L001_R1_001,20.52,24.48,50_ng,Swift,0.630946,0.651808,0.895595,0.460147,3259.42827822121,1.18825059837358,43370481,4.22314250624573,71.8477443083393,5.76266106001187,14.468534264601,3.69791786080206,1,B
50_ng_U007_S,430,4.2,5.25,30177,0.507112,0.986615,0.046551,0.128427,0.008663,0.309247,50-ng-UHR_U007_S7_L001_R1_001,15.81,18.5,50_ng,Swift,0.661669,0.637811,0.881697,0.485523,1631.33424553402,1.12421317287841,21703624,4.36382140595134,73.3446990743823,5.39324001886232,13.754152999064,3.14408650174007,1,C
50_ng_U008_S,427,4.47,4.19,29367,0.469213,0.988237,0.054912,0.140749,0.006698,0.328427,50-ng-UHR_U008_S8_L001_R1_001,16.95,14.87,50_ng,Swift,0.573578,0.62935,0.916564,0.484261,1066.23587989358,0.890390909704116,14187701,3.87687262033401,70.909943292853,5.80695479721672,15.2221654673167,4.18406382227962,1,D
50_ng_U009_S,453,2.1,2.18,28378,0.504587,0.985126,0.056845,0.132947,0.007308,0.298313,50-ng-UHR_U009_S9_L001_R1_001,7.5,7.27,50_ng,Swift,0.562985,0.610882,0.950522,0.55401,1442.38320030407,0.970909806006666,19191278,4.22986518090717,71.7644019768411,5.69254991519351,14.7588715872204,3.55431133983779,1,E
50_ng_U010_S,420,5.74,6.1,30606,0.458591,0.9887,0.098715,0.12704,0.007515,0.308139,50-ng-UHR_U010_S10_L001_R1_001,22.11,22.01,50_ng,Swift,0.618794,0.66656,0.957453,0.465766,1601.60554922083,1.03296899230262,21312450,3.88914348247718,66.713279205067,10.927029512614,12.9327929271397,5.53775487270216,1,F
50_ng_U016_SR,433,11.49,9.8,33348,0.542214,0.96579,0.041924,0.125385,0.007893,0.282584,50ng_U016_S3_L001_R1_001,42.93,34.29,50_ng,Swift_Rapid,0.539431,0.613475,1.115968,0.612512,2429.99794754846,1.0023277105206,32325755,3.88452139308658,67.7911506778013,4.65142951573399,14.1338632628371,9.53903515054107,1,D
50_ng_U017_SR,465,9.2,9.54,36268,0.540809,0.965229,0.042154,0.124657,0.007914,0.284466,50ng_U017_S4_L001_R1_001,32,31.09,50_ng,Swift_Rapid,0.545012,0.620634,1.1102,0.606629,5684.28354237932,1.00694556578554,75616302,3.89058533322155,67.6502871757281,4.60766958965322,14.1321057107712,9.71935219062596,1,E
50_ng_U018_SR,469,2.03,2.98,31259,0.414758,0.959141,0.124207,0.19293,0.006415,0.26169,50ng_U018_S5_L001_R1_001,7.02,9.63,50_ng,Swift_Rapid,0.551783,0.512983,0.87617,0.673443,1783.84644621817,1.0265325471464,23773820,2.84037629216618,48.559811980148,7.95829118905219,20.709362218395,19.9321583202386,1,F
